date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:50:45	498/498	---MCZ	200	added ('OK')	text/plain	date:Sat,%2007%20May%202022%2001:18:15%20+0000	https://wb-Voltique1.mybigcommerce.com/robots.txt		(from )
19:50:46	194190/194190	---MCZ	200	added ('OK')	text/html	date:Wed,%2029%20Oct%202025%2014:20:46%20GMT	https://wb-Voltique1.mybigcommerce.com/	D:/Voltique/wb-Voltique1.mybigcommerce.com/index.html	(from )
19:50:46	34545/34545	---MCZ	200	added ('OK')	text/css	date:Fri,%2024%20Oct%202025%2007:25:25%20GMT	https://cdn11.bigcommerce.com/s-31zptpmygo/stencil/6987a280-c8ba-013c-548c-7a0ed174a637/e/82264540-c8bc-013c-f4b9-76bdb9da05bf/css/critical-846a41b0-c8ba-013c-83a8-02bca51d9537.css	D:/Voltique/cdn11.bigcommerce.com/s-31zptpmygo/stencil/6987a280-c8ba-013c-548c-7a0ed174a637/e/82264540-c8bc-013c-f4b9-76bdb9da05bf/css/critical-846a41b0-c8ba-013c-83a8-02bca51d9537.css	(from https://wb-Voltique1.mybigcommerce.com/)
19:50:46	1185/1185	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2024%20Oct%202025%2007:25:25%20GMT	https://cdn11.bigcommerce.com/s-31zptpmygo/stencil/6987a280-c8ba-013c-548c-7a0ed174a637/e/82264540-c8bc-013c-f4b9-76bdb9da05bf/vendor/loadcss/cssrelpreload.min.js	D:/Voltique/cdn11.bigcommerce.com/s-31zptpmygo/stencil/6987a280-c8ba-013c-548c-7a0ed174a637/e/82264540-c8bc-013c-f4b9-76bdb9da05bf/vendor/loadcss/cssrelpreload.min.js	(from https://wb-Voltique1.mybigcommerce.com/)
19:50:47	393686/393686	---MCZ	200	added ('OK')	text/css	date:Fri,%2024%20Oct%202025%2007:25:25%20GMT	https://cdn11.bigcommerce.com/s-31zptpmygo/stencil/6987a280-c8ba-013c-548c-7a0ed174a637/e/82264540-c8bc-013c-f4b9-76bdb9da05bf/css/theme-846a41b0-c8ba-013c-83a8-02bca51d9537.css	D:/Voltique/cdn11.bigcommerce.com/s-31zptpmygo/stencil/6987a280-c8ba-013c-548c-7a0ed174a637/e/82264540-c8bc-013c-f4b9-76bdb9da05bf/css/theme-846a41b0-c8ba-013c-83a8-02bca51d9537.css	(from https://wb-Voltique1.mybigcommerce.com/)
19:50:48	159269/159269	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2029%20Oct%202025%2014:20:48%20GMT	https://cdn11.bigcommerce.com/s-31zptpmygo/stencil/6987a280-c8ba-013c-548c-7a0ed174a637/e/82264540-c8bc-013c-f4b9-76bdb9da05bf/dist/theme-bundle.polyfills.js	D:/Voltique/cdn11.bigcommerce.com/s-31zptpmygo/stencil/6987a280-c8ba-013c-548c-7a0ed174a637/e/82264540-c8bc-013c-f4b9-76bdb9da05bf/dist/theme-bundle.polyfills.js	(from https://wb-Voltique1.mybigcommerce.com/)
19:50:48	7348/7348	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2029%20Oct%202025%2014:19:34%20GMT	https://cdn11.bigcommerce.com/s-31zptpmygo/stencil/6987a280-c8ba-013c-548c-7a0ed174a637/e/82264540-c8bc-013c-f4b9-76bdb9da05bf/dist/theme-bundle.head_async.js	D:/Voltique/cdn11.bigcommerce.com/s-31zptpmygo/stencil/6987a280-c8ba-013c-548c-7a0ed174a637/e/82264540-c8bc-013c-f4b9-76bdb9da05bf/dist/theme-bundle.head_async.js	(from https://wb-Voltique1.mybigcommerce.com/)
19:50:48	12513/12513	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2024%20Oct%202025%2007:25:25%20GMT	https://cdn11.bigcommerce.com/s-31zptpmygo/stencil/6987a280-c8ba-013c-548c-7a0ed174a637/e/82264540-c8bc-013c-f4b9-76bdb9da05bf/dist/theme-bundle.font.js	D:/Voltique/cdn11.bigcommerce.com/s-31zptpmygo/stencil/6987a280-c8ba-013c-548c-7a0ed174a637/e/82264540-c8bc-013c-f4b9-76bdb9da05bf/dist/theme-bundle.font.js	(from https://wb-Voltique1.mybigcommerce.com/)
19:50:48	106102/106102	---MCZ	200	added ('OK')	application/javascript	etag:W/%22547cd815aecc581516f009ada85b9d45%22	https://checkout-sdk.bigcommerce.com/v1/loader.js	D:/Voltique/checkout-sdk.bigcommerce.com/v1/loader.js	(from https://wb-Voltique1.mybigcommerce.com/)
19:50:49	59842/59842	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2029%20Oct%202025%2014:20:50%20GMT	https://wb-Voltique1.mybigcommerce.com/POST	D:/Voltique/wb-Voltique1.mybigcommerce.com/POST	(from https://wb-Voltique1.mybigcommerce.com/)
